city,short,collectionVer,description
Bristol,gb,0.0,The wider district has the 10th-largest population in England.
London,gb,0.0,London is the capital of and largest city in England and the United Kingdom
Haifa,il,0.0,Haifa is the third-largest city in Israel – after Jerusalem and Tel Aviv.
Jerusalem,il,0.0,A city in the Middle East
Tel-aviv,il,0.0,Israel's largest metropolitan area. Located on the country's Mediterranean coastline.
Okazaki,jp,0.0,A city located in Aichi Prefecture
Tokyo,jp,0.0,One of the 47 prefectures of Japan
